"Registro ANS";"CNPJ";"Razao Social";"Nome Fantasia";"Modalidade";"Logradouro";"Numero";"Complemento";"Bairro";"Cidade";"UF";"CEP";"DDD";"Telefone";"Fax";"Endereco eletronico";"Representante";"Cargo Representante";"Data Registro ANS"
"418374";"11828089000103";" CAIXA DE ASSISTENCIA DO SETOR DE ENERGIA -EVIDA -ASSISTENCIA A SAUDE";"E-VIDA";"Autogestao";"SETOR DE HABITACOES COLETIVAS GEMINADAS ";"QUADRA 704/705";"BLOCO C, LOJA 48";"ASA NORTE";"Brasilia";"DF";"70730630";"61";"39668300";"39668302";"governanca@evida.org.br";"ELI PINTO DE MELO JUNIOR";"PRESIDENTE";"12/01/2012"
"417734";"07525246000126";"ABBESS - ASSOCIACAO BRASILEIRA DE BENEFICIOS E SEGURIDADE SOCIAL";"";"Administradora de Beneficios";"AV RIO BRANCO";"120";"PAVIMENTO 4 - SALA 426";"CENTRO";"Rio de Janeiro";"RJ";"20040001";"21";"22704971";"";"comercial@abbess.com.br";"MARCELO BRANDAO ROCHA";"PRESIDENTE E TESOUREIRO";"20/12/2010"
"314668";"17505793000101";"ABERTTA SAUDE - ASSOCIACAO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL";"ABERTTA SAUDE";"Autogestao";"AV. BERNARDO MONTEIRO";"831";"Subsolo, 2o andar e 3o andar";"SANTA EFIGENIA";"Belo Horizonte";"MG";"30150281";"31";"32484300";"32484377";"abertta.ans@arcelormittal.com.br";"JOSE ANTONIO GIMENEZ";"PRESIDENTE";"28/12/1998"
"419621";"17687511000126";"ABPLUS ADMINISTRADORA DE BENEFICIOS LTDA.";"";"Administradora de Beneficios";"AVENIDA JOSE DA SILVA NETO";"200";"BLOCO 4, SALA 403";"BARRA DA TIJUCA";"Rio de Janeiro";"RJ";"22775056";"";"";"";"contato@abplus.com.br";"ROBERTO CARLOS MACHADO RODRIGUES";"ADMINISTRADOR";"13/11/2014"
"418901";"10458298000131";"AD SALUTE ADMINISTRADORA DE BENEFICIOS EIRELI";"AD SALUTE";"Administradora de Beneficios";"RUA BUENOS AIRES";"68";"SALA 2901";"CENTRO";"Rio de Janeiro";"RJ";"20070020";"21";"35531692";"";"LEONARDO@UNIMEDICASAUDE.COM";"JOAO CARMO DA SILVEIRA";"ADMINISTRADOR";"13/06/2013"
"420671";"26134881000127";"ADDERE ADMINISTRADORA DE BENEFICIOS EIRELI";"ADDERE ADMINISTRADORA DE BENEFICIOS";"Administradora de Beneficios";"AV. DAS ARAUCARIAS";"LOTE 1835";"1905, 1955 E 2005, 4o PISO, SL 444/445";"SUL (AGUAS CLARAS) ";"Brasilia";"DF";"71936250";"61";"982537447";"";"contato@addereadm.com";"JULIANA DOS SANTOS GONTIJO";"Socia Administradora";"13/12/2016"
"417556";"09035280000148";"ADM ADMINISTRADORA DE BENEFICIOS LTDA";"";"Administradora de Beneficios";"RUA DOUTOR RUBENS GOMES BUENO";"691";"17 ANDAR - PARTE";"VARZEA DE BAIXO";"Sao Paulo";"SP";"04730903";"11";"47005033";"34911102";"br.juridico@aon.com.br";"LEONARDO CARNEIRO MARTINS COELHO";"DIRETOR ADJUNTO COMERCIAL";"21/09/2010"
"421553";"28315826000169";"ADM LIFE - ADMINISTRADORA DE BENEFICIOS LTDA.";"ADM LIFE";"Administradora de Beneficios";"AVENIDA PEDROSO DE MORAIS";"272";"CJ 96";"PINHEIROS";"Sao Paulo";"SP";"05420000";"11";"34769350";"";"cristiane@admlife.com.br";"NELITO JUNIOR DE ALMEIDA SILVA";"Socio Administrador";"09/01/2019"
"416932";"07867825000157";"ADMSERV BENEFICIOS E SERVICOS LTDA";"GEIA ADMINISTRADORA DE BENEFICIOS";"Administradora de Beneficios";"RUA TRAIPU";"125";"";"PACAEMBU";"Sao Paulo";"SP";"01235000";"11";"26917601";"38281888";"fabio.oliveira@geia.com.br";"PEDRO OLIVEIRA OBLIZINER";"SOCIO ADMINISTRADOR";"30/03/2009"
"419168";"17273560000112";"ADPART M2 ADMINISTRACAO E PARTICIPACOES LTDA";"";"Medicina de Grupo";"RUA DONA ANITA MAYER";"139";"";"BOTAFOGO";"Campinas";"SP";"13020350";"19";"21029700";"";"coopus@coopus.com.br";"GUSTAVO POLLI ANTONIO";"REPRESENTANTE LEGAL";"22/10/2013"
